time_s,vx_mean,vy_mean,vz_mean
0.00000105,-370.73825619,177.11632785,-55.85640073
0.00000106,-353.25618400,228.91230362,-55.85640073
0.00000107,-324.67728118,277.38410248,-55.85640073
0.00000108,-286.15574958,319.26132862,-55.85640073
0.00000109,-240.03928446,351.75610737,-55.85640073
0.00000110,-189.55712571,373.10040291,-55.85640073
0.00000111,-138.48111065,382.74023314,-55.85640073
0.00000112,-90.56299861,381.55923060,-55.85640073
0.00000113,-48.99197699,371.79354535,-55.85640073
0.00000114,-15.89828357,356.93877782,-55.85640073
0.00000115,8.35697303,341.11424422,-55.85640073
0.00000116,25.30873411,328.15799150,-55.85640073
0.00000117,38.02833785,320.82248434,-55.85640073
0.00000118,50.56695822,320.01833354,-55.85640073
0.00000119,66.80516700,324.53782719,-55.85640073
0.00000120,89.47623959,331.78149054,-55.85640073
0.00000121,119.94881132,338.30506904,-55.85640073
0.00000122,158.12304007,340.47265321,-55.85640073
0.00000123,202.67635637,334.85761140,-55.85640073
0.00000124,250.97592452,318.56325668,-55.85640073
0.00000125,299.29569781,289.70970612,-55.85640073
0.00000126,343.26389321,247.92479990,-55.85640073
0.00000127,378.45167409,194.46123624,-55.85640073
0.00000128,401.04272606,132.22161554,-55.85640073
0.00000129,408.38435424,65.33535696,-55.85640073
0.00000130,399.38648058,-1.43893792,-55.85640073
0.00000131,374.42052644,-63.01915542,-55.85640073
0.00000132,335.61452669,-114.34082825,-55.85640073
0.00000133,287.03830544,-151.23950139,-55.85640073
0.00000134,234.31299619,-171.17041259,-55.85640073
0.00000135,184.03575001,-173.99212096,-55.85640073
0.00000136,142.39378093,-162.45590141,-55.85640073
0.00000137,113.90598436,-141.77491058,-55.85640073
0.00000138,100.36440844,-118.50667463,-55.85640073
0.00000139,100.62734816,-99.24490808,-55.85640073
0.00000140,110.91069849,-89.39477178,-55.85640073
0.00000141,125.55025505,-92.22020021,-55.85640073
0.00000142,138.15935338,-108.20471937,-55.85640073
0.00000143,142.84553261,-135.00946182,-55.85640073
0.00000144,135.44240972,-168.11369178,-55.85640073
0.00000145,114.14950618,-202.10927849,-55.85640073
0.00000146,79.14682600,-231.61697256,-55.85640073
0.00000147,32.46644420,-251.60496655,-55.85640073
0.00000148,-22.32653065,-258.09747354,-55.85640073
0.00000149,-80.62074187,-248.51980739,-55.85640073
0.00000150,-137.18979894,-221.70679806,-55.85640073
0.00000151,-186.23376189,-178.20579814,-55.85640073
0.00000152,-222.17805818,-120.78731696,-55.85640073
0.00000153,-240.82083181,-54.20161625,-55.85640073
0.00000154,-239.90829023,15.62101306,-55.85640073
0.00000155,-219.29546768,82.29692316,-55.85640073
0.00000156,-181.15949372,139.78197803,-55.85640073
0.00000157,-129.44103164,183.38633357,-55.85640073
0.00000158,-69.24479519,210.01262507,-55.85640073
0.00000159,-6.27253954,218.36062664,-55.85640073
0.00000160,53.65906433,209.04467707,-55.85640073
0.00000161,105.18004675,184.64620027,-55.85640073
0.00000162,144.23733145,149.63200855,-55.85640073
0.00000163,168.95891596,109.74456492,-55.85640073
0.00000164,179.98886197,70.83585712,-55.85640073
0.00000165,180.44446888,38.06803433,-55.85640073
0.00000166,175.62970440,14.34150867,-55.85640073
0.00000167,171.35901512,-0.62432287,-55.85640073
0.00000168,172.47504871,-9.87584452,-55.85640073
0.00000169,181.56684600,-18.58843971,-55.85640073
0.00000170,198.27727751,-32.72122827,-55.85640073
0.00000171,219.12075517,-57.57662897,-55.85640073
0.00000172,238.04271376,-96.23487080,-55.85640073
0.00000173,247.81661392,-148.55812569,-55.85640073
0.00000174,241.64572270,-211.03510439,-55.85640073
0.00000175,214.47080253,-277.16297051,-55.85640073
0.00000176,164.32543894,-338.33439993,-55.85640073
0.00000177,93.09079598,-385.40923341,-55.85640073
0.00000178,6.30384326,-410.51072970,-55.85640073
0.00000179,-87.41162776,-408.20583577,-55.85640073
0.00000180,-177.52462098,-376.82763469,-55.85640073
0.00000181,-253.38931069,-319.22463083,-55.85640073
0.00000182,-306.24964218,-242.39319680,-55.85640073
0.00000183,-330.93602510,-156.40144787,-55.85640073
0.00000184,-326.96568031,-72.50410917,-55.85640073
0.00000185,-298.32705852,-0.85564747,-55.85640073
0.00000186,-252.64574537,50.96966318,-55.85640073
0.00000187,-199.74188275,79.60029595,-55.85640073
0.00000188,-149.24999491,86.06560254,-55.85640073
0.00000189,-109.05394141,74.83169426,-55.85640073
0.00000190,-84.27730814,52.95749749,-55.85640073
0.00000191,-76.46979983,28.63998706,-55.85640073
0.00000192,-83.33039140,9.41867553,-55.85640073
0.00000193,-99.87835824,0.67069592,-55.85640073
0.00000194,-119.52086861,4.78564133,-55.85640073
0.00000195,-135.84042214,20.70940608,-55.85640073
0.00000196,-143.95026558,44.89863498,-55.85640073
0.00000197,-141.40959391,72.08695381,-55.85640073
0.00000198,-128.80327167,96.83323587,-55.85640073
0.00000199,-109.12258919,115.17920555,-55.85640073
0.00000200,-86.54912525,125.29591280,-55.85640073
0.00000201,-65.25943507,127.67977553,-55.85640073
0.00000202,-48.46442226,124.85351247,-55.85640073
0.00000203,-37.54073232,120.30443961,-55.85640073
0.00000204,-31.83430316,117.69991109,-55.85640073
0.00000205,-28.84785226,119.86123324,-55.85640073
0.00000206,-24.75903705,127.86310682,-55.85640073
0.00000207,-15.63610327,140.41445879,-55.85640073
